batter,runs,balls,matches_batted,strike_rate,runs_per_match,match_key
T Henderson,11,16,2,68.8,5.5,t_henderson
T Kohler-Cadmore,48,54,3,88.9,16.0,t_kohler-cadmore
T Kohli,11,20,3,55.0,3.67,t_kohli
T Natarajan,3,5,2,60.0,1.5,t_natarajan
T Shamsi,2,4,1,50.0,2.0,t_shamsi
T Stubbs,405,239,17,169.5,23.82,t_stubbs
T Taibu,31,26,3,119.2,10.33,t_taibu
T Thushara,12,19,4,63.2,3.0,t_thushara
TA Boult,83,82,22,101.2,3.77,t_boult
TD Paine,10,29,2,34.5,5.0,t_paine
TG Southee,120,108,19,111.1,6.32,t_southee
TH David,659,417,35,158.0,18.83,t_david
TK Curran,127,108,10,117.6,12.7,t_curran
TL Seifert,26,26,3,100.0,8.67,t_seifert
TL Suman,676,587,39,115.2,17.33,t_suman
TM Dilshan,1153,1047,50,110.1,23.06,t_dilshan
TM Head,772,458,25,168.6,30.88,t_head
TM Srivastava,8,11,3,72.7,2.67,t_srivastava
TR Birt,75,59,5,127.1,15.0,t_birt
TS Mills,8,14,5,57.1,1.6,t_mills
TU Deshpande,21,15,4,140.0,5.25,t_deshpande
Tanush Kotian,24,32,1,75.0,24.0,t_kotian
Tilak Varma,1156,830,38,139.3,30.42,t_varma
U Kaul,0,1,1,0.0,0.0,u_kaul
UA Birla,7,15,1,46.7,7.0,u_birla
UBT Chand,300,314,20,95.5,15.0,u_chand
UT Khawaja,127,105,6,121.0,21.17,u_khawaja
UT Yadav,208,211,48,98.6,4.33,u_yadav
Umar Gul,39,19,4,205.3,9.75,u_gul
Umran Malik,23,16,5,143.8,4.6,u_malik
V Kohli,8014,6236,244,128.5,32.84,v_kohli
V Pratap Singh,0,1,1,0.0,0.0,v_singh
V Sehwag,2728,1833,104,148.8,26.23,v_sehwag
V Shankar,1115,890,58,125.3,19.22,v_shankar
V Viyaskanth,7,5,1,140.0,7.0,v_viyaskanth
VG Arora,9,17,7,52.9,1.29,v_arora
VH Zol,29,26,2,111.5,14.5,v_zol
VR Aaron,50,73,12,68.5,4.17,v_aaron
VR Iyer,1326,1000,49,132.6,27.06,v_iyer
VRV Singh,4,3,2,133.3,2.0,v_singh
VS Malik,7,7,2,100.0,3.5,v_malik
VS Yeligati,2,2,1,100.0,2.0,v_yeligati
VVS Laxman,282,271,20,104.1,14.1,v_laxman
VY Mahesh,15,28,5,53.6,3.0,v_mahesh
Vijaykumar Vyshak,14,13,4,107.7,3.5,v_vyshak
Virat Singh,15,26,2,57.7,7.5,v_singh
Vishnu Vinod,56,58,6,96.6,9.33,v_vinod
Vivrant Sharma,69,49,1,140.8,69.0,v_sharma
W Jaffer,130,129,8,100.8,16.25,w_jaffer
WA Mota,56,76,8,73.7,7.0,w_mota
WD Parnell,65,86,13,75.6,5.0,w_parnell
WG Jacks,230,133,8,172.9,28.75,w_jacks
WP Saha,2934,2368,143,123.9,20.52,w_saha
WPUJC Vaas,81,73,11,111.0,7.36,w_vaas
Washington Sundar,378,341,38,110.9,9.95,w_sundar
X Thalaivan Sargunam,10,17,1,58.8,10.0,x_sargunam
Y Gnaneswara Rao,19,18,1,105.6,19.0,y_rao
Y Nagar,285,271,20,105.2,14.25,y_nagar
Y Prithvi Raj,0,1,1,0.0,0.0,y_raj
Y Venugopal Rao,985,865,52,113.9,18.94,y_rao
YA Abdulla,0,1,1,0.0,0.0,y_abdulla
YBK Jaiswal,1607,1095,52,146.8,30.9,y_jaiswal
YK Pathan,3222,2334,153,138.0,21.06,y_pathan
YS Chahal,37,89,17,41.6,2.18,y_chahal
YV Dhull,16,23,3,69.6,5.33,y_dhull
YV Takawale,192,183,10,104.9,19.2,y_takawale
Yash Dayal,0,1,1,0.0,0.0,y_dayal
Yashpal Singh,47,67,4,70.1,11.75,y_singh
Younis Khan,3,7,1,42.9,3.0,y_khan
Yudhvir Singh,22,16,4,137.5,5.5,y_singh
Yuvraj Singh,2754,2207,126,124.8,21.86,y_singh
Z Khan,117,141,27,83.0,4.33,z_khan
