Name,Price in $,Role,TeamName,auction_year,Price in rs,Nationality,BasePrices in Rs,Winning Bid in Rs,Capped/UnCapped,price_rs,price_crore,match_key
Mandeep Singh ,,Batter , Kolkata Knight Riders,2023,"50,00,000 ",Indian ,,,,5000000,0.5,m_singh
Litton Das ,,Wicket-Keeper , Kolkata Knight Riders,2023,"50,00,000 ",Overseas ,,,,5000000,0.5,l_das
Suyash Sharma ,,Bowler , Kolkata Knight Riders,2023,"20,00,000 ",Indian ,,,,2000000,0.2,s_sharma
Amit Mishra ,,Bowler , Lucknow Super Giants,2023,"50,00,000 ",Indian ,,,,5000000,0.5,a_mishra
Nicholas Pooran ,,Wicket-Keeper , Lucknow Super Giants,2023,"16,00,00,000 ",Overseas ,,,,160000000,16.0,n_pooran
Romario Shepherd ,,All-Rounder , Lucknow Super Giants,2023,"50,00,000 ",Overseas ,,,,5000000,0.5,r_shepherd
Daniel Sams ,,All-Rounder , Lucknow Super Giants,2023,"75,00,000 ",Overseas ,,,,7500000,0.75,d_sams
Swapnil Singh ,,All-Rounder , Lucknow Super Giants,2023,"20,00,000 ",Indian ,,,,2000000,0.2,s_singh
Yudhvir Charak ,,All-Rounder , Lucknow Super Giants,2023,"20,00,000 ",Indian ,,,,2000000,0.2,y_charak
Prerak Mankad ,,All-Rounder , Lucknow Super Giants,2023,"20,00,000 ",Indian ,,,,2000000,0.2,p_mankad
Yash Thakur ,,Bowler , Lucknow Super Giants,2023,"45,00,000 ",Indian ,,,,4500000,0.45,y_thakur
Naveen Ul Haq ,,Bowler , Lucknow Super Giants,2023,"50,00,000 ",Overseas ,,,,5000000,0.5,n_haq
Jaydev Unadkat ,,Bowler , Lucknow Super Giants,2023,"50,00,000 ",Indian ,,,,5000000,0.5,j_unadkat
Jhye Richardson ,,Bowler , Mumbai Indians,2023,"1,50,00,000 ",Overseas ,,,,15000000,1.5,j_richardson
Nehal Wadhera ,,All-Rounder , Mumbai Indians,2023,"20,00,000 ",Indian ,,,,2000000,0.2,n_wadhera
Raghav Goyal ,,Bowler , Mumbai Indians,2023,"20,00,000 ",Indian ,,,,2000000,0.2,r_goyal
Cameron Green ,,All-Rounder , Mumbai Indians,2023,"17,50,00,000 ",Overseas ,,,,175000000,17.5,c_green
Vishnu Vinod ,,Wicket-Keeper , Mumbai Indians,2023,"20,00,000 ",Indian ,,,,2000000,0.2,v_vinod
Duan Jansen ,,All-Rounder , Mumbai Indians,2023,"20,00,000 ",Overseas ,,,,2000000,0.2,d_jansen
Piyush Chawla ,,Bowler , Mumbai Indians,2023,"50,00,000 ",Indian ,,,,5000000,0.5,p_chawla
Shams Mulani ,,All-Rounder , Mumbai Indians,2023,"20,00,000 ",Indian ,,,,2000000,0.2,s_mulani
Harpreet Bhatia ,,Batter , Punjab Kings,2023,"40,00,000 ",Indian ,,,,4000000,0.4,h_bhatia
Shivam Singh ,,All-Rounder , Punjab Kings,2023,"20,00,000 ",Indian ,,,,2000000,0.2,s_singh
Vidwath Kaverappa ,,Bowler , Punjab Kings,2023,"20,00,000 ",Indian ,,,,2000000,0.2,v_kaverappa
Mohit Rathee ,,All-Rounder , Punjab Kings,2023,"20,00,000 ",Indian ,,,,2000000,0.2,m_rathee
Sam Curran ,,All-Rounder , Punjab Kings,2023,"18,50,00,000 ",Overseas ,,,,185000000,18.5,s_curran
Sikandar Raza ,,All-Rounder , Punjab Kings,2023,"50,00,000 ",Overseas ,,,,5000000,0.5,s_raza
Jason Holder ,,All-Rounder , Rajasthan Royals,2023,"5,75,00,000 ",Overseas ,,,,57500000,5.75,j_holder
Adam Zampa ,,Bowler , Rajasthan Royals,2023,"1,50,00,000 ",Overseas ,,,,15000000,1.5,a_zampa
Abdul P A ,,All-Rounder , Rajasthan Royals,2023,"20,00,000 ",Indian ,,,,2000000,0.2,a_a
Akash Vashisht ,,All-Rounder , Rajasthan Royals,2023,"20,00,000 ",Indian ,,,,2000000,0.2,a_vashisht
Donovan Ferreira ,,Wicket-Keeper , Rajasthan Royals,2023,"50,00,000 ",Overseas ,,,,5000000,0.5,d_ferreira
Kunal Rathore ,,Wicket-Keeper , Rajasthan Royals,2023,"20,00,000 ",Indian ,,,,2000000,0.2,k_rathore
Joe Root ,,Batter , Rajasthan Royals,2023,"1,00,00,000 ",Overseas ,,,,10000000,1.0,j_root
Murugan Ashwin ,,Bowler , Rajasthan Royals,2023,"20,00,000 ",Indian ,,,,2000000,0.2,m_ashwin
K.M. Asif ,,Bowler , Rajasthan Royals,2023,"30,00,000 ",Indian ,,,,3000000,0.3,k_asif
