Name,Price in $,Role,TeamName,auction_year,Price in rs,Nationality,BasePrices in Rs,Winning Bid in Rs,Capped/UnCapped,price_rs,price_crore,match_key
Siddarth Kaul,,Bowler,Delhi Daredevils,2014,"45,00,000",,,,,4500000,0.45,s_kaul
Rahul Shukla,,Bowler,Delhi Daredevils,2014,"40,00,000",,,,,4000000,0.4,r_shukla
Jayant Yadav,,All-Rounder,Delhi Daredevils,2014,"10,00,000",,,,,1000000,0.1,j_yadav
HS Sharath,,Bowler,Delhi Daredevils,2014,"10,00,000",,,,,1000000,0.1,h_sharath
Milind Kumar,,Batsman,Delhi Daredevils,2014,"10,00,000",,,,,1000000,0.1,m_kumar
Mitchell Johnson,,All-Rounder,Kings XI Punjab,2014,"6,50,00,000",,,,,65000000,6.5,m_johnson
Glenn Maxwell,,All-Rounder,Kings XI Punjab,2014,"6,00,00,000",,,,,60000000,6.0,g_maxwell
George Bailey,,Batsman,Kings XI Punjab,2014,"3,25,00,000",,,,,32500000,3.25,g_bailey
Virender Sehwag,,Batsman,Kings XI Punjab,2014,"3,20,00,000",,,,,32000000,3.2,v_sehwag
Rishi Dhawan,,All-Rounder,Kings XI Punjab,2014,"3,00,00,000",,,,,30000000,3.0,r_dhawan
Wriddhiman Saha,,Wicket Keeper,Kings XI Punjab,2014,"2,20,00,000",,,,,22000000,2.2,w_saha
Shaun Marsh,,Batsman,Kings XI Punjab,2014,"2,20,00,000",,,,,22000000,2.2,s_marsh
Cheteshwar Pujara,,Batsman,Kings XI Punjab,2014,"1,90,00,000",,,,,19000000,1.9,c_pujara
Beuran Hendricks,,Bowler,Kings XI Punjab,2014,"1,80,00,000",,,,,18000000,1.8,b_hendricks
Lakshmipathy Balaji,,Bowler,Kings XI Punjab,2014,"1,80,00,000",,,,,18000000,1.8,l_balaji
Thisara Perera,,All-Rounder,Kings XI Punjab,2014,"1,60,00,000",,,,,16000000,1.6,t_perera
Gurkirat Singh Mann,,Batsman,Kings XI Punjab,2014,"1,30,00,000",,,,,13000000,1.3,g_mann
Murali Kartik,,Bowler,Kings XI Punjab,2014,"1,00,00,000",,,,,10000000,1.0,m_kartik
Sandeep Sharma,,Bowler,Kings XI Punjab,2014,"85,00,000",,,,,8500000,0.85,s_sharma
Mandeep Hardev Singh,,All-Rounder,Kings XI Punjab,2014,"80,00,000",,,,,8000000,0.8,m_singh
Akshar Rajesh Patel,,All-Rounder,Kings XI Punjab,2014,"75,00,000",,,,,7500000,0.75,a_patel
Parvinder Awana,,Bowler,Kings XI Punjab,2014,"65,00,000",,,,,6500000,0.65,p_awana
Shardul Narendra Thakur,,Bowler,Kings XI Punjab,2014,"20,00,000",,,,,2000000,0.2,s_thakur
Anureet Singh,,Bowler,Kings XI Punjab,2014,"20,00,000",,,,,2000000,0.2,a_singh
Shivam Sharma,,Bowler,Kings XI Punjab,2014,"10,00,000",,,,,1000000,0.1,s_sharma
Karanveer Singh,,All-Rounder,Kings XI Punjab,2014,"10,00,000",,,,,1000000,0.1,k_singh
Jacques Kallis,,All-Rounder,Kolkata Knight Riders,2014,"5,50,00,000",,,,,55000000,5.5,j_kallis
Robin Uthappa,,Batsman,Kolkata Knight Riders,2014,"5,00,00,000",,,,,50000000,5.0,r_uthappa
Piyush Chawla,,Bowler,Kolkata Knight Riders,2014,"4,25,00,000",,,,,42500000,4.25,p_chawla
Yusuf Pathan,,All-Rounder,Kolkata Knight Riders,2014,"3,25,00,000",,,,,32500000,3.25,y_pathan
Shakib Al Hasan,,All-Rounder,Kolkata Knight Riders,2014,"2,80,00,000",,,,,28000000,2.8,s_hasan
Morne Morkel,,Bowler,Kolkata Knight Riders,2014,"2,80,00,000",,,,,28000000,2.8,m_morkel
Ranganath Vinay Kumar,,Bowler,Kolkata Knight Riders,2014,"2,80,00,000",,,,,28000000,2.8,r_kumar
Umesh Yadav,,Bowler,Kolkata Knight Riders,2014,"2,60,00,000",,,,,26000000,2.6,u_yadav
Manish Pandey,,Batsman,Kolkata Knight Riders,2014,"1,70,00,000",,,,,17000000,1.7,m_pandey
Chris Lynn,,Batsman,Kolkata Knight Riders,2014,"1,30,00,000",,,,,13000000,1.3,c_lynn
Patrick Cummins,,Bowler,Kolkata Knight Riders,2014,"1,00,00,000",,,,,10000000,1.0,p_cummins
Ryan Ten Doeschate,,All-Rounder,Kolkata Knight Riders,2014,"1,00,00,000",,,,,10000000,1.0,r_doeschate
Suryakumar Yadav,,Batsman,Kolkata Knight Riders,2014,"70,00,000",,,,,7000000,0.7,s_yadav
Andre Russell,,All-Rounder,Kolkata Knight Riders,2014,"60,00,000",,,,,6000000,0.6,a_russell
Manvinder Bisla,,Wicket Keeper,Kolkata Knight Riders,2014,"60,00,000",,,,,6000000,0.6,m_bisla
Veer Pratap Singh,,Bowler,Kolkata Knight Riders,2014,"40,00,000",,,,,4000000,0.4,v_singh
Kuldeep Singh Yadav,,Bowler,Kolkata Knight Riders,2014,"40,00,000",,,,,4000000,0.4,k_yadav
Debabrata Das,,Wicket Keeper,Kolkata Knight Riders,2014,"20,00,000",,,,,2000000,0.2,d_das
Sayan Sekhar Mandal,,All-Rounder,Kolkata Knight Riders,2014,"10,00,000",,,,,1000000,0.1,s_mandal
Michael Hussey,,Batsman,Mumbai Indians,2014,"5,00,00,000",,,,,50000000,5.0,m_hussey
Corey Anderson,,All-Rounder,Mumbai Indians,2014,"4,50,00,000",,,,,45000000,4.5,c_anderson
Pragyan Ojha,,Bowler,Mumbai Indians,2014,"3,25,00,000",,,,,32500000,3.25,p_ojha
Zaheer Khan,,Bowler,Mumbai Indians,2014,"2,60,00,000",,,,,26000000,2.6,z_khan
Aditya Tare,,Wicket Keeper,Mumbai Indians,2014,"1,60,00,000",,,,,16000000,1.6,a_tare
Jasprit Bumrah,,Bowler,Mumbai Indians,2014,"1,20,00,000",,,,,12000000,1.2,j_bumrah
Jalaj Saxena,,All-Rounder,Mumbai Indians,2014,"90,00,000",,,,,9000000,0.9,j_saxena
Josh Hazlewood,,Bowler,Mumbai Indians,2014,"50,00,000",,,,,5000000,0.5,j_hazlewood
Marchant De Lange,,Bowler,Mumbai Indians,2014,"30,00,000",,,,,3000000,0.3,m_lange
Krismar Santokie,,Bowler,Mumbai Indians,2014,"30,00,000",,,,,3000000,0.3,k_santokie
Ben Dunk,,Wicket Keeper,Mumbai Indians,2014,"20,00,000",,,,,2000000,0.2,b_dunk
C.M. Gautam,,Wicket Keeper,Mumbai Indians,2014,"20,00,000",,,,,2000000,0.2,c_gautam
Apoorv Vijay Wankhade,,Batsman,Mumbai Indians,2014,"10,00,000",,,,,1000000,0.1,a_wankhade
Pawan Suyal,,Bowler,Mumbai Indians,2014,"10,00,000",,,,,1000000,0.1,p_suyal
Sushant Marathe,,Wicket Keeper,Mumbai Indians,2014,"10,00,000",,,,,1000000,0.1,s_marathe
Shreyas Gopal,,Bowler,Mumbai Indians,2014,"10,00,000",,,,,1000000,0.1,s_gopal
Steven Smith,,All-Rounder,Rajasthan Royals,2014,"4,00,00,000",,,,,40000000,4.0,s_smith
Brad Hodge,,Batsman,Rajasthan Royals,2014,"2,40,00,000",,,,,24000000,2.4,b_hodge
Rajat Bhatia,,All-Rounder,Rajasthan Royals,2014,"1,70,00,000",,,,,17000000,1.7,r_bhatia
Tim Southee,,Bowler,Rajasthan Royals,2014,"1,20,00,000",,,,,12000000,1.2,t_southee
Dhawal Kulkarni,,Bowler,Rajasthan Royals,2014,"1,10,00,000",,,,,11000000,1.1,d_kulkarni
Abhishek Nayar,,All-Rounder,Rajasthan Royals,2014,"1,00,00,000",,,,,10000000,1.0,a_nayar
Kane Richardson,,Bowler,Rajasthan Royals,2014,"1,00,00,000",,,,,10000000,1.0,k_richardson
Ben Cutting,,Bowler,Rajasthan Royals,2014,"80,00,000",,,,,8000000,0.8,b_cutting
Karun Nair,,Batsman,Rajasthan Royals,2014,"75,00,000",,,,,7500000,0.75,k_nair
Unmukt Chand,,Batsman,Rajasthan Royals,2014,"65,00,000",,,,,6500000,0.65,u_chand
Iqbal Abdullah,,All-Rounder,Rajasthan Royals,2014,"65,00,000",,,,,6500000,0.65,i_abdullah
Deepak Hooda,,Bowler,Rajasthan Royals,2014,"40,00,000",,,,,4000000,0.4,d_hooda
Dishant Yagnik,,Wicket Keeper,Rajasthan Royals,2014,"30,00,000",,,,,3000000,0.3,d_yagnik
Kevon Cooper,,All-Rounder,Rajasthan Royals,2014,"30,00,000",,,,,3000000,0.3,k_cooper
Vikramjeet Malik,,Bowler,Rajasthan Royals,2014,"20,00,000",,,,,2000000,0.2,v_malik
Ankit Nagendra Sharma,,Bowler,Rajasthan Royals,2014,"10,00,000",,,,,1000000,0.1,a_sharma
Rahul Tewatia,,All-Rounder,Rajasthan Royals,2014,"10,00,000",,,,,1000000,0.1,r_tewatia
Ankush Bains,,Wicket Keeper,Rajasthan Royals,2014,"10,00,000",,,,,1000000,0.1,a_bains
Amit Mishra,,Bowler,Rajasthan Royals,2014,"10,00,000",,,,,1000000,0.1,a_mishra
Pravin Tambe,,Bowler,Rajasthan Royals,2014,"10,00,000",,,,,1000000,0.1,p_tambe
Yuvraj Singh,,All-Rounder, Royal Challengers Bengaluru,2014,"14,00,00,000",,,,,140000000,14.0,y_singh
Mitchell Starc,,Bowler, Royal Challengers Bengaluru,2014,"5,00,00,000",,,,,50000000,5.0,m_starc
Albie Morkel,,All-Rounder, Royal Challengers Bengaluru,2014,"2,40,00,000",,,,,24000000,2.4,a_morkel
Varun Aaron,,Bowler, Royal Challengers Bengaluru,2014,"2,00,00,000",,,,,20000000,2.0,v_aaron
Ashok Dinda,,Bowler, Royal Challengers Bengaluru,2014,"1,50,00,000",,,,,15000000,1.5,a_dinda
Parthiv Patel,,Wicket Keeper, Royal Challengers Bengaluru,2014,"1,40,00,000",,,,,14000000,1.4,p_patel
Muttiah Muralitharan,,Bowler, Royal Challengers Bengaluru,2014,"1,00,00,000",,,,,10000000,1.0,m_muralitharan
Ravi Rampaul,,Bowler, Royal Challengers Bengaluru,2014,"90,00,000",,,,,9000000,0.9,r_rampaul
Nic Maddinson,,Batsman, Royal Challengers Bengaluru,2014,"50,00,000",,,,,5000000,0.5,n_maddinson
Harshal Patel,,Bowler, Royal Challengers Bengaluru,2014,"40,00,000",,,,,4000000,0.4,h_patel
Vijay Zol,,Batsman, Royal Challengers Bengaluru,2014,"30,00,000",,,,,3000000,0.3,v_zol
Abu Nechim Ahmed,,Bowler, Royal Challengers Bengaluru,2014,"30,00,000",,,,,3000000,0.3,a_ahmed
Sachin Rana,,Bowler, Royal Challengers Bengaluru,2014,"20,00,000",,,,,2000000,0.2,s_rana
Shadab Jakati,,Bowler, Royal Challengers Bengaluru,2014,"20,00,000",,,,,2000000,0.2,s_jakati
Sandeep Warrier,,Bowler, Royal Challengers Bengaluru,2014,"10,00,000",,,,,1000000,0.1,s_warrier
Tanmay Mishra,,Batsman, Royal Challengers Bengaluru,2014,"10,00,000",,,,,1000000,0.1,t_mishra
Yogesh Takawale,,Wicket Keeper, Royal Challengers Bengaluru,2014,"10,00,000",,,,,1000000,0.1,y_takawale
Yuzvendra Singh Chahal,,Bowler, Royal Challengers Bengaluru,2014,"10,00,000",,,,,1000000,0.1,y_chahal
David Warner,,Batsman, Sunrisers Hyderabad,2014,"5,50,00,000",,,,,55000000,5.5,d_warner
Amit Mishra,,Bowler, Sunrisers Hyderabad,2014,"4,75,00,000",,,,,47500000,4.75,a_mishra
Bhuvneshwar Kumar,,Bowler, Sunrisers Hyderabad,2014,"4,25,00,000",,,,,42500000,4.25,b_kumar
Aaron Finch,,Batsman, Sunrisers Hyderabad,2014,"4,00,00,000",,,,,40000000,4.0,a_finch
Karn Sharma,,Bowler, Sunrisers Hyderabad,2014,"3,75,00,000",,,,,37500000,3.75,k_sharma
Darren Sammy,,All-Rounder, Sunrisers Hyderabad,2014,"3,50,00,000",,,,,35000000,3.5,d_sammy
Ishant Sharma,,Bowler, Sunrisers Hyderabad,2014,"2,60,00,000",,,,,26000000,2.6,i_sharma
Irfan Pathan,,All-Rounder, Sunrisers Hyderabad,2014,"2,40,00,000",,,,,24000000,2.4,i_pathan
Moises Henriques,,All-Rounder, Sunrisers Hyderabad,2014,"1,00,00,000",,,,,10000000,1.0,m_henriques
KL Rahul,,Batsman, Sunrisers Hyderabad,2014,"1,00,00,000",,,,,10000000,1.0,k_rahul
Parveez Rasool,,All-Rounder, Sunrisers Hyderabad,2014,"95,00,000",,,,,9500000,0.95,p_rasool
Jason Holder,,Bowler, Sunrisers Hyderabad,2014,"75,00,000",,,,,7500000,0.75,j_holder
Venugopal Rao,,Batsman, Sunrisers Hyderabad,2014,"55,00,000",,,,,5500000,0.55,v_rao
Naman Ojha,,Wicket Keeper, Sunrisers Hyderabad,2014,"50,00,000",,,,,5000000,0.5,n_ojha
Brendan Taylor,,Wicket Keeper, Sunrisers Hyderabad,2014,"30,00,000",,,,,3000000,0.3,b_taylor
Prasanth Parameswaran,,Bowler, Sunrisers Hyderabad,2014,"30,00,000",,,,,3000000,0.3,p_parameswaran
Amit Paunikar,,Wicket Keeper, Sunrisers Hyderabad,2014,"20,00,000",,,,,2000000,0.2,a_paunikar
Ashish Reddy,,Bowler, Sunrisers Hyderabad,2014,"20,00,000",,,,,2000000,0.2,a_reddy
Srikkanth Anirudha,,Batsman, Sunrisers Hyderabad,2014,"20,00,000",,,,,2000000,0.2,s_anirudha
Ricky Bhui,,Batsman, Sunrisers Hyderabad,2014,"10,00,000",,,,,1000000,0.1,r_bhui
Chama Milind,,Bowler, Sunrisers Hyderabad,2014,"10,00,000",,,,,1000000,0.1,c_milind
Manprit Juneja,,Batsman, Sunrisers Hyderabad,2014,"10,00,000",,,,,1000000,0.1,m_juneja
Michael Hussey,,Batsman,Chennai Super Kings,2015,"1,50,00,000",,,,,15000000,1.5,m_hussey
Irfan Pathan,,All-Rounder,Chennai Super Kings,2015,"1,50,00,000",,,,,15000000,1.5,i_pathan
Rahul Sharma,,Bowler,Chennai Super Kings,2015,"30,00,000",,,,,3000000,0.3,r_sharma
Kyle Abbott,,Bowler,Chennai Super Kings,2015,"30,00,000",,,,,3000000,0.3,k_abbott
Andrew Tye,,Bowler,Chennai Super Kings,2015,"20,00,000",,,,,2000000,0.2,a_tye
Pratyush Singh,,All-Rounder,Chennai Super Kings,2015,"10,00,000",,,,,1000000,0.1,p_singh
Ankush Bains,,Wicket Keeper,Chennai Super Kings,2015,"10,00,000",,,,,1000000,0.1,a_bains
Eklavya Dwivedi,,Wicket Keeper,Chennai Super Kings,2015,"10,00,000",,,,,1000000,0.1,e_dwivedi
Yuvraj Singh,,Batsman,Delhi Daredevils,2015,"16,00,00,000",,,,,160000000,16.0,y_singh
Angelo Mathews,,All-Rounder,Delhi Daredevils,2015,"7,50,00,000",,,,,75000000,7.5,a_mathews
Zaheer Khan,,Bowler,Delhi Daredevils,2015,"4,00,00,000",,,,,40000000,4.0,z_khan
Amit Mishra,,Bowler,Delhi Daredevils,2015,"3,50,00,000",,,,,35000000,3.5,a_mishra
Shreyas Iyer,,Batsman,Delhi Daredevils,2015,"2,60,00,000",,,,,26000000,2.6,s_iyer
Gurinder Sandhu,,Bowler,Delhi Daredevils,2015,"1,70,00,000",,,,,17000000,1.7,g_sandhu
Jaydev Unadkat,,Bowler,Delhi Daredevils,2015,"1,10,00,000",,,,,11000000,1.1,j_unadkat
Domnic Joseph Muthuswamy,,Bowler,Delhi Daredevils,2015,"75,00,000",,,,,7500000,0.75,d_muthuswamy
Albie Morkel,,All-Rounder,Delhi Daredevils,2015,"30,00,000",,,,,3000000,0.3,a_morkel
Travis Head,,Batsman,Delhi Daredevils,2015,"30,00,000",,,,,3000000,0.3,t_head
Marcus Stoinis,,All-Rounder,Delhi Daredevils,2015,"25,00,000",,,,,2500000,0.25,m_stoinis
C.M. Gautam,,Wicket Keeper,Delhi Daredevils,2015,"20,00,000",,,,,2000000,0.2,c_gautam
Kona Srikar Bharat,,Wicket Keeper,Delhi Daredevils,2015,"10,00,000",,,,,1000000,0.1,k_bharat
K.K. Jiyaz,,Bowler,Delhi Daredevils,2015,"10,00,000",,,,,1000000,0.1,k_jiyaz
Murali Vijay,,Batsman,Kings XI Punjab,2015,"3,00,00,000",,,,,30000000,3.0,m_vijay
Nikhil Shankar Naik,,Wicket Keeper,Kings XI Punjab,2015,"30,00,000",,,,,3000000,0.3,n_naik
Yogesh Gowalkar,,All-Rounder,Kings XI Punjab,2015,"10,00,000",,,,,1000000,0.1,y_gowalkar
K.C. Cariappa,,Bowler,Kolkata Knight Riders,2015,"2,40,00,000",,,,,24000000,2.4,k_cariappa
James Neesham,,All-Rounder,Kolkata Knight Riders,2015,"50,00,000",,,,,5000000,0.5,j_neesham
Brad Hogg,,Bowler,Kolkata Knight Riders,2015,"50,00,000",,,,,5000000,0.5,b_hogg
Aditya Garhwal,,All-Rounder,Kolkata Knight Riders,2015,"25,00,000",,,,,2500000,0.25,a_garhwal
Sheldon Jackson,,Batsman,Kolkata Knight Riders,2015,"15,00,000",,,,,1500000,0.15,s_jackson
Sumit Narwal,,All-Rounder,Kolkata Knight Riders,2015,"10,00,000",,,,,1000000,0.1,s_narwal
Vaibhav Rawal,,All-Rounder,Kolkata Knight Riders,2015,"10,00,000",,,,,1000000,0.1,v_rawal
Aaron Finch,,Batsman,Mumbai Indians,2015,"3,20,00,000",,,,,32000000,3.2,a_finch
Pragyan Ojha,,Bowler,Mumbai Indians,2015,"50,00,000",,,,,5000000,0.5,p_ojha
Abhimanyu Mithun,,Bowler,Mumbai Indians,2015,"30,00,000",,,,,3000000,0.3,a_mithun
Mitchell McClenaghan,,Bowler,Mumbai Indians,2015,"30,00,000",,,,,3000000,0.3,m_mcclenaghan
Aiden Blizzard,,Batsman,Mumbai Indians,2015,"30,00,000",,,,,3000000,0.3,a_blizzard
Hardik Pandya,,All-Rounder,Mumbai Indians,2015,"10,00,000",,,,,1000000,0.1,h_pandya
Akshay Wakhare,,Bowler,Mumbai Indians,2015,"10,00,000",,,,,1000000,0.1,a_wakhare
Nitish Rana,,All-Rounder,Mumbai Indians,2015,"10,00,000",,,,,1000000,0.1,n_rana
Siddhesh Dinesh Lad,,All-Rounder,Mumbai Indians,2015,"10,00,000",,,,,1000000,0.1,s_lad
J. Suchitch,,All-Rounder,Mumbai Indians,2015,"10,00,000",,,,,1000000,0.1,j_suchitch
Christopher Morris,,All-Rounder,Rajasthan Royals,2015,"1,40,00,000",,,,,14000000,1.4,c_morris
Juan Theron,,Bowler,Rajasthan Royals,2015,"30,00,000",,,,,3000000,0.3,j_theron
Barinder Singh Saran,,Bowler,Rajasthan Royals,2015,"10,00,000",,,,,1000000,0.1,b_saran
Dinesh Salunkhe,,All-Rounder,Rajasthan Royals,2015,"10,00,000",,,,,1000000,0.1,d_salunkhe
Sagar Trivedi,,All-Rounder,Rajasthan Royals,2015,"10,00,000",,,,,1000000,0.1,s_trivedi
Pardeep Sahu,,All-Rounder,Rajasthan Royals,2015,"10,00,000",,,,,1000000,0.1,p_sahu
Dinesh Karthik,,Wicket Keeper, Royal Challengers Bengaluru,2015,"10,50,00,000",,,,,105000000,10.5,d_karthik
Darren Sammy,,All-Rounder, Royal Challengers Bengaluru,2015,"2,80,00,000",,,,,28000000,2.8,d_sammy
David Wiese,,All-Rounder, Royal Challengers Bengaluru,2015,"2,80,00,000",,,,,28000000,2.8,d_wiese
Sean Abbott,,Bowler, Royal Challengers Bengaluru,2015,"1,00,00,000",,,,,10000000,1.0,s_abbott
Adam Milne,,Bowler, Royal Challengers Bengaluru,2015,"70,00,000",,,,,7000000,0.7,a_milne
Sarfaraz Naushad Khan,,Batsman, Royal Challengers Bengaluru,2015,"50,00,000",,,,,5000000,0.5,s_khan
Subramaniam Badrinath,,Batsman, Royal Challengers Bengaluru,2015,"30,00,000",,,,,3000000,0.3,s_badrinath
Jalaj Saxena,,All-Rounder, Royal Challengers Bengaluru,2015,"10,00,000",,,,,1000000,0.1,j_saxena
Shishir Bhavane,,Batsman, Royal Challengers Bengaluru,2015,"10,00,000",,,,,1000000,0.1,s_bhavane
Trent Boult,,Bowler, Sunrisers Hyderabad,2015,"3,80,00,000",,,,,38000000,3.8,t_boult
Praveen Kumar,,Bowler, Sunrisers Hyderabad,2015,"2,20,00,000",,,,,22000000,2.2,p_kumar
Kevin Pietersen,,Batsman, Sunrisers Hyderabad,2015,"2,00,00,000",,,,,20000000,2.0,k_pietersen
Eoin Morgan,,Batsman, Sunrisers Hyderabad,2015,"1,50,00,000",,,,,15000000,1.5,e_morgan
Ravi Bopara,,All-Rounder, Sunrisers Hyderabad,2015,"1,00,00,000",,,,,10000000,1.0,r_bopara
Kane Williamson,,All-Rounder, Sunrisers Hyderabad,2015,"60,00,000",,,,,6000000,0.6,k_williamson
Laxmi Ratan Shukla,,All-Rounder, Sunrisers Hyderabad,2015,"30,00,000",,,,,3000000,0.3,l_shukla
Prasanth Padmanabhan,,All-Rounder, Sunrisers Hyderabad,2015,"10,00,000",,,,,1000000,0.1,p_padmanabhan
Hanuma Vihari,,Batsman, Sunrisers Hyderabad,2015,"10,00,000",,,,,1000000,0.1,h_vihari
Siddarth Kaul,,Bowler, Sunrisers Hyderabad,2015,"10,00,000",,,,,1000000,0.1,s_kaul
Pawan Negi,,All-Rounder,Delhi Daredevils,2016,"8,50,00,000",,,,,85000000,8.5,p_negi
Christopher Morris,,All-Rounder,Delhi Daredevils,2016,"7,00,00,000",,,,,70000000,7.0,c_morris
Sanju Samson,,Wicket Keeper,Delhi Daredevils,2016,"4,20,00,000",,,,,42000000,4.2,s_samson
Carlos Brathwaite,,All-Rounder,Delhi Daredevils,2016,"4,20,00,000",,,,,42000000,4.2,c_brathwaite
Karun Nair,,Batsman,Delhi Daredevils,2016,"4,00,00,000",,,,,40000000,4.0,k_nair
Rishabh Pant,,Wicket Keeper,Delhi Daredevils,2016,"1,90,00,000",,,,,19000000,1.9,r_pant
Joel Paris,,Bowler,Delhi Daredevils,2016,"30,00,000",,,,,3000000,0.3,j_paris
Sam Billings,,Wicket Keeper,Delhi Daredevils,2016,"30,00,000",,,,,3000000,0.3,s_billings
Chama Milind,,Bowler,Delhi Daredevils,2016,"10,00,000",,,,,1000000,0.1,c_milind
Pratyush Singh,,All-Rounder,Delhi Daredevils,2016,"10,00,000",,,,,1000000,0.1,p_singh
Mahipal Lomror,,All-Rounder,Delhi Daredevils,2016,"10,00,000",,,,,1000000,0.1,m_lomror
Syed Khaleel Ahmed,,All-Rounder,Delhi Daredevils,2016,"10,00,000",,,,,1000000,0.1,s_ahmed
Akhil Arvind Herwadkar,,All-Rounder,Delhi Daredevils,2016,"10,00,000",,,,,1000000,0.1,a_herwadkar
Pawan Suyal,,Bowler,Delhi Daredevils,2016,"10,00,000",,,,,1000000,0.1,p_suyal
Praveen Kumar,,Bowler,Gujarat Lions,2016,"3,50,00,000",,,,,35000000,3.5,p_kumar
Dale Steyn,,Bowler,Gujarat Lions,2016,"2,30,00,000",,,,,23000000,2.3,d_steyn
Dinesh Karthik,,Wicket Keeper,Gujarat Lions,2016,"2,30,00,000",,,,,23000000,2.3,d_karthik
Dwayne Smith,,All-Rounder,Gujarat Lions,2016,"2,30,00,000",,,,,23000000,2.3,d_smith
Dhawal Kulkarni,,Bowler,Gujarat Lions,2016,"2,00,00,000",,,,,20000000,2.0,d_kulkarni
Aaron Finch,,Batsman,Gujarat Lions,2016,"1,00,00,000",,,,,10000000,1.0,a_finch
Eklavya Dwivedi,,Wicket Keeper,Gujarat Lions,2016,"1,00,00,000",,,,,10000000,1.0,e_dwivedi
Andrew Tye,,All-Rounder,Gujarat Lions,2016,"50,00,000",,,,,5000000,0.5,a_tye
Ishan Kishan,,Wicket Keeper,Gujarat Lions,2016,"35,00,000",,,,,3500000,0.35,i_kishan
Jaydev Shah,,All-Rounder,Gujarat Lions,2016,"20,00,000",,,,,2000000,0.2,j_shah
Shadab Jakati,,All-Rounder,Gujarat Lions,2016,"20,00,000",,,,,2000000,0.2,s_jakati
Pravin Tambe,,Bowler,Gujarat Lions,2016,"20,00,000",,,,,2000000,0.2,p_tambe
Pradeep Sangwan,,All-Rounder,Gujarat Lions,2016,"20,00,000",,,,,2000000,0.2,p_sangwan
Amit Mishra,,Bowler,Gujarat Lions,2016,"10,00,000",,,,,1000000,0.1,a_mishra
Shivil Kaushik,,Bowler,Gujarat Lions,2016,"10,00,000",,,,,1000000,0.1,s_kaushik
Akshdeep Nath,,All-Rounder,Gujarat Lions,2016,"10,00,000",,,,,1000000,0.1,a_nath
Sarabjit Ladda,,Bowler,Gujarat Lions,2016,"10,00,000",,,,,1000000,0.1,s_ladda
Umang Sharma,,Batsman,Gujarat Lions,2016,"10,00,000",,,,,1000000,0.1,u_sharma
Paras Dogra,,Batsman,Gujarat Lions,2016,"10,00,000",,,,,1000000,0.1,p_dogra
Mohit Sharma,,Bowler,Kings XI Punjab,2016,"6,50,00,000",,,,,65000000,6.5,m_sharma
Kyle Abbott,,Bowler,Kings XI Punjab,2016,"2,10,00,000",,,,,21000000,2.1,k_abbott
K.C. Cariappa,,Bowler,Kings XI Punjab,2016,"80,00,000",,,,,8000000,0.8,k_cariappa
Marcus Stoinis,,All-Rounder,Kings XI Punjab,2016,"55,00,000",,,,,5500000,0.55,m_stoinis
Farhaan Behardien,,All-Rounder,Kings XI Punjab,2016,"30,00,000",,,,,3000000,0.3,f_behardien
Pardeep Sahu,,All-Rounder,Kings XI Punjab,2016,"10,00,000",,,,,1000000,0.1,p_sahu
Armaan Jaffer,,Batsman,Kings XI Punjab,2016,"10,00,000",,,,,1000000,0.1,a_jaffer
Swapnil Singh,,All-Rounder,Kings XI Punjab,2016,"10,00,000",,,,,1000000,0.1,s_singh
Jaydev Unadkat,,Bowler,Kolkata Knight Riders,2016,"1,60,00,000",,,,,16000000,1.6,j_unadkat
Ankit Singh Rajpoot,,Bowler,Kolkata Knight Riders,2016,"1,50,00,000",,,,,15000000,1.5,a_rajpoot
John Hastings,,Bowler,Kolkata Knight Riders,2016,"1,30,00,000",,,,,13000000,1.3,j_hastings
Jason Holder,,All-Rounder,Kolkata Knight Riders,2016,"70,00,000",,,,,7000000,0.7,j_holder
Colin Munro,,All-Rounder,Kolkata Knight Riders,2016,"30,00,000",,,,,3000000,0.3,c_munro
Rajagopal Sathish,,All-Rounder,Kolkata Knight Riders,2016,"20,00,000",,,,,2000000,0.2,r_sathish
Manan Ajay Sharma,,All-Rounder,Kolkata Knight Riders,2016,"10,00,000",,,,,1000000,0.1,m_sharma
Jos Buttler,,Wicket Keeper,Mumbai Indians,2016,"3,80,00,000",,,,,38000000,3.8,j_buttler
Nathu Singh,,Bowler,Mumbai Indians,2016,"3,20,00,000",,,,,32000000,3.2,n_singh
Tim Southee,,Bowler,Mumbai Indians,2016,"2,50,00,000",,,,,25000000,2.5,t_southee
Krunal Pandya,,All-Rounder,Mumbai Indians,2016,"2,00,00,000",,,,,20000000,2.0,k_pandya
Kishore Pramod Kamath,,All-Rounder,Mumbai Indians,2016,"1,40,00,000",,,,,14000000,1.4,k_kamath
Deepak Punia,,All-Rounder,Mumbai Indians,2016,"10,00,000",,,,,1000000,0.1,d_punia
Jitesh Sharma,,Wicket Keeper,Mumbai Indians,2016,"10,00,000",,,,,1000000,0.1,j_sharma
Mitchell Marsh,,All-Rounder,Rising Pune Supergiant,2016,"4,80,00,000",,,,,48000000,4.8,m_marsh
M. Ashwin,,Bowler,Rising Pune Supergiant,2016,"4,50,00,000",,,,,45000000,4.5,m_ashwin
Ishant Sharma,,Bowler,Rising Pune Supergiant,2016,"3,80,00,000",,,,,38000000,3.8,i_sharma
