bowler,balls_bowled,runs_conceded,wickets,economy,wickets_per_match,match_key
UT Yadav,3190,4442,163,8.35,6.13,u_yadav
Umar Gul,153,198,14,7.76,10.98,u_gul
Umran Malik,519,785,31,9.08,7.17,u_malik
V Kaverappa,24,36,2,9.0,10.0,v_kaverappa
V Kohli,264,371,5,8.43,2.27,v_kohli
V Pratap Singh,211,300,12,8.53,6.82,v_singh
V Sehwag,138,236,6,10.26,5.22,v_sehwag
V Shankar,258,344,12,8.0,5.58,v_shankar
V Viyaskanth,60,90,1,9.0,2.0,v_viyaskanth
VG Arora,418,598,20,8.58,5.74,v_arora
VR Aaron,1065,1527,46,8.6,5.18,v_aaron
VR Iyer,84,145,3,10.36,4.29,v_iyer
VRV Singh,371,549,16,8.88,5.18,v_singh
VS Malik,212,268,6,7.58,3.4,v_malik
VS Yeligati,32,61,0,11.44,0.0,v_yeligati
VY Mahesh,359,511,22,8.54,7.35,v_mahesh
Vijaykumar Vyshak,243,396,17,9.78,8.4,v_vyshak
Vivrant Sharma,21,37,0,10.57,0.0,v_sharma
WA Mota,75,98,4,7.84,6.4,w_mota
WD Parnell,758,968,40,7.66,6.33,w_parnell
WG Jacks,55,100,2,10.91,4.36,w_jacks
WPUJC Vaas,288,364,22,7.58,9.17,w_vaas
Washington Sundar,1064,1335,39,7.53,4.4,w_sundar
Y Gnaneswara Rao,6,7,0,7.0,0.0,y_rao
Y Nagar,72,125,4,10.42,6.67,y_nagar
Y Prithvi Raj,33,57,1,10.36,3.64,y_raj
Y Venugopal Rao,222,338,7,9.14,3.78,y_rao
YA Abdulla,222,311,15,8.41,8.11,y_abdulla
YBK Jaiswal,1,6,0,36.0,0.0,y_jaiswal
YK Pathan,1184,1443,46,7.31,4.66,y_pathan
YS Chahal,3628,4681,213,7.74,7.05,y_chahal
Yash Dayal,615,933,31,9.1,6.05,y_dayal
Yash Thakur,432,702,27,9.75,7.5,y_thakur
Yudhvir Singh,74,125,4,10.14,6.49,y_singh
Yuvraj Singh,882,1091,39,7.42,5.31,y_singh
Z Khan,2276,2860,119,7.54,6.27,z_khan
